"seller_city","num_sellers","num_orders","avg_review","avg_one_star_rate","avg_delivery_lead_time","num_late_deliveries","avg_late_delivery_rate"
"LAGOA DA PRATA","2","49","4.25","0.05","14.11","2","0.04"
"LAGOA SANTA","1","12","4.33","0.08","9.85","1","0.08"
"LAJEADO","5","62","4.00","0.22","6.79","2","0.03"
"LARANJAL PAULISTA","4","271","4.13","0.09","16.62","37","0.14"
"LAURENTINO","2","9","4.23","0.00","7.93","0","0.00"
"LAURO DE FREITAS","2","359","4.12","0.55","11.91","15","0.04"
"LENCOIS PAULISTA","6","102","4.10","0.07","11.97","6","0.06"
"LIMEIRA","17","837","4.17","0.15","12.00","98","0.12"
"LOANDA","3","39","3.90","0.05","13.76","2","0.05"
"LONDRINA","26","378","4.21","0.14","11.14","20","0.05"
"LORENA","2","9","4.22","0.13","17.18","1","0.11"
"LOUVEIRA","1","110","4.05","0.11","13.07","7","0.07"
"LUIZ ALVES","1","8","4.50","0.00","14.97","0","0.00"
"LUZIANIA","1","16","3.63","0.19","10.51","0","0.00"
"MACAE","3","43","4.25","0.05","9.82","3","0.07"
"MAGE","2","48","4.73","0.51","10.44","1","0.02"
"MAIRINQUE","1","7","4.43","0.00","12.14","0","0.00"
"MAIRIPORA","2","22","4.00","0.03","15.63","1","0.05"
"MAMANGUAPE","1","16","3.33","0.40","15.62","2","0.13"
"MANDAGUACU","1","6","3.50","0.33","7.14","0","0.00"
"MANDIRITUBA","1","15","4.67","0.00","11.04","0","0.00"
"MARECHAL CANDIDO RONDON","3","17","4.18","0.15","19.77","2","0.12"
"MARILIA","15","196","3.95","0.09","10.60","15","0.08"
"MARINGA","42","1904","4.00","0.10","12.68","158","0.08"
"MASSARANDUBA","1","17","4.47","0.06","8.84","1","0.06"
"MATEUS LEME","1","21","3.43","0.33","13.36","2","0.10"
"MAUA","14","443","4.25","0.10","9.88","16","0.04"
"MESQUITA","3","72","4.11","0.11","21.95","10","0.14"
"MINEIROS DO TIETE","1","49","4.49","0.04","12.48","4","0.08"
"MIRANDOPOLIS","1","74","3.89","0.11","11.83","3","0.04"
"MIRASSOL","4","35","4.17","0.04","15.76","3","0.09"
"MOCOCA","1","34","3.65","0.21","11.97","4","0.12"
"MOGI DAS CRUZES","17","322","4.15","0.05","11.16","36","0.11"
"MOGI GUACU","8","199","4.29","0.12","10.58","12","0.06"
"MOGI-MIRIM","3","48","4.52","0.05","13.98","4","0.08"
